year,time,Temp,Hum,spd,windmag,dir
2014,100,61.862,90.1,3.6478464,8.044,179.7
2014,200,61.25,89.9,3.60403648,7.945,178.2
2014,300,60.638,90.5,3.37649312,7.461,180.5
2014,400,59.99,92,3.33134208,7.354,178
2014,500,58.946,94.9,4.3228768,9.531,169.5
2014,600,58.928,95.9,4.56517248,10.055,170.7
2014,700,61.106,94.4,4.85843072,10.696,177.4
2014,800,64.904,87.4,5.68768992,12.49,181.9
2014,900,65.354,87.2,6.24157248,13.698,183.7
2014,1000,66.974,85.6,6.87145184,15.062,189.2
2014,1100,69.224,83.1,5.85980032,12.73,182.7
2014,1200,70.034,82.5,4.83160832,10.508,196.9
2014,1300,73.796,77.2,4.54103232,9.804,190.8
2014,1400,77.216,72.1,5.35732736,11.614,177.4
2014,1500,77.558,72.8,5.99212416,13.005,169.8
2014,1600,77.324,73.6,5.55357792,12.125,172.8
2014,1700,76.73,74.5,5.44226496,11.903,177
2014,1800,76.298,76.9,4.5531024,9.943,173.2
2014,1900,75.938,78.5,3.09306976,6.772,155
2014,2000,73.436,83.5,2.5324816,5.468,133.7
2014,2100,70.286,90.9,3.70327936,8.138,129.9
2014,2200,68.792,93.5,3.81906272,8.389,136.3
2014,2300,67.406,96,4.86781856,10.732,145.6
2014,2400,66.506,95.7,4.49230496,9.896,147.9
2014,100,65.894,95,3.92858752,8.631,154.1
2014,200,65.264,95.3,3.9361872,8.655,158.2
2014,300,64.148,96.6,4.46503552,9.822,166
2014,400,63.536,96.9,4.77841056,10.526,172.6
2014,500,62.888,97.8,3.99966688,8.79,169.2
2014,600,62.726,98.1,4.02246592,8.823,164
2014,700,64.67,96,4.0255952,8.844,164.4
2014,800,67.856,90,4.23659808,9.292,169
2014,900,70.862,84.5,4.53119744,9.854,166.9
2014,1000,72.374,82.1,4.52136256,9.825,156.4
2014,1100,73.94,80.6,5.19102848,10.92,159.4
2014,1200,75.2,79.8,5.1119024,11.012,173.4
2014,1300,77.99,77,5.03903488,10.983,166.3
2014,1400,81.482,73,4.39797952,9.594,161.8
2014,1500,83.282,70.1,4.44313056,9.661,176.5
2014,1600,84.668,68.46,4.75963488,10.391,181
2014,1700,84.812,68.45,5.15124192,11.296,180.6
2014,1800,84.65,69.98,4.17580064,9.137,187.2
2014,1900,83.678,73.6,2.53158752,5.557,169.1
2014,2000,80.582,81.1,2.31611424,5.094,160.9
2014,2100,78.728,83.9,2.78684736,6.129,173.9
2014,2200,77.054,85.8,2.7336496,6.03,178.4
2014,2300,75.866,87.6,2.50431808,5.548,182.4
2014,2400,74.678,88.8,2.49850656,5.531,191.5
2014,100,73.67,90.6,2.78461216,6.037,221
2014,200,73.148,91.7,3.65589312,6.716,248.6
2014,300,72.95,92.4,3.14224416,6.729,258.3
2014,400,72.608,93.2,3.8132512,8.024,287.9
2014,500,71.546,95.5,5.8048144,12.331,336.5
2014,600,70.88,96.8,4.80478592,10.324,353.4
2014,700,71.6,96.1,3.196336,6.738,25.87
2014,800,73.922,92.8,2.46050816,4.648,45.71
2014,900,77.882,86.3,2.34338368,4.708,342.5
2014,1000,81.122,81.2,4.60048864,9.834,345.5
2014,1100,82.742,79,4.73057728,10.165,335.3
2014,1200,84.362,77.5,3.3103312,6.924,19.07
2014,1300,86.162,74.6,3.52401632,7.468,4
2014,1400,86.324,75.3,3.766312,7.903,359.2
2014,1500,88.826,71.1,4.0323008,4.428,18.15
